t,x,y,yaw,roll,pitch,state,target_id
1789540266.2637706,11.805782971596628,0.8964754877569796,0.6544569861395079,-1.0906008536034037e-08,0.00011603728575224716,NAVIGATING,door_blue_df7a1e
1789540266.614269,11.824984052910501,0.9120846636088208,0.6198091323084483,9.905098826850152e-10,-8.344754150494545e-06,NAVIGATING,door_blue_df7a1e
1789540266.9649773,11.828077008673139,0.91566499095539,0.583496870665158,1.2423471120703e-10,-1.6702701096082916e-06,NAVIGATING,door_blue_df7a1e
1789540267.3139124,11.828077208130047,0.9173075011183833,0.5467315691408754,3.2349691753021215e-12,-3.016819910453908e-07,NAVIGATING,door_blue_df7a1e
1789540267.663792,11.82929860498921,0.9203438526760215,0.5078120240272236,1.2824048476773653e-09,-3.0214309104118237e-06,NAVIGATING,door_blue_df7a1e
1789540268.0140667,11.846283243676456,0.9323226141194855,0.4585557776148717,3.7921324780514066e-11,-3.9176866425135845e-07,NAVIGATING,door_blue_df7a1e
1789540268.3638842,11.888284450844354,0.9557178271522242,0.40524221679914574,-1.0054051788435418e-10,-5.0979567981068534e-08,NAVIGATING,door_blue_df7a1e
1789540268.7137365,11.927724539600112,0.975757329130886,0.35685900057976044,-1.3427926509858546e-10,-8.483675026345832e-09,NAVIGATING,door_blue_df7a1e
1789540269.0638905,11.959995047413408,0.9924382114745897,0.2951670690485322,-6.646267045371031e-07,0.005553769427731115,NAVIGATING,door_blue_df7a1e
1789540269.413746,11.949224373062552,0.9891632824931711,0.295167072497508,-8.554170898637362e-08,-1.3440547594445444e-06,NAVIGATING,door_blue_df7a1e
1789540269.763671,11.941092171877864,0.9866906831631372,0.2951670724872883,-1.5485833080345767e-08,-2.427190891694002e-07,NAVIGATING,door_blue_df7a1e
1789540270.1139877,11.93295980293462,0.9842180443858188,0.2951670724892044,-2.8088469156413023e-09,-4.3534544338531507e-08,NAVIGATING,door_blue_df7a1e
1789540270.4638827,11.921574442896022,0.9807563396993005,0.29516707248862323,-2.553319987085658e-10,-3.1547586840247257e-09,NAVIGATING,door_blue_df7a1e
1789540270.8137362,11.912023740750717,0.9780130222621289,0.2890413149558181,3.7455057779024615e-11,-4.937260912029965e-10,NAVIGATING,door_blue_df7a1e
1789540271.1642127,11.911711953090315,0.9841819302791676,0.2258011419542483,1.4926271189875322e-10,3.56516791063886e-10,NAVIGATING,door_blue_df7a1e
1789540271.5139356,11.911711936062837,0.9891668079873498,0.18231543819677354,6.485161622615817e-11,7.224580471535831e-10,NAVIGATING,door_blue_df7a1e
1789540271.8641865,11.911711909761475,0.9972950131986705,0.11493848944511208,3.4065897122235266e-11,9.769831022636828e-10,NAVIGATING,door_blue_df7a1e
1789540272.2137973,11.911711881904678,1.006172381815388,0.044741700417411705,4.1573390301983715e-11,1.0137489787984653e-09,NAVIGATING,door_blue_df7a1e
1789540272.563905,11.911711870757628,1.0140778347157053,-0.015998800138574586,1.3852424162254782e-11,9.82841449849752e-10,NAVIGATING,door_blue_df7a1e
